price_usd,price_per_day_usd,departure_date,return_date,trip_days,day_of_week,month_name,destination_code,destination_name,is_nonstop,out_airlines,out_stops,out_layovers,out_duration,out_departure_time,out_arrival_time,in_airlines,in_stops,in_layovers,in_duration,in_departure_time,in_arrival_time,booking_url,scraped_at
1691,120.79,2026-05-30,2026-06-13,14,Saturday,May,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,"ZIPAIR, Porter Airlines",2,"YVR, YUL",32h 50m,3:55 pm,8:55 pm+1,https://www.kayak.com/flights/BOS-NRT/2026-05-30/2026-06-13?sort=price_a,2026-04-26 09:30:42
1818,129.86,2026-05-30,2026-06-13,14,Saturday,May,HND,Tokyo (Haneda),False,United Airlines,2,"DEN, SEA",6h 34m,8:39 pm,7:00 pm+2,United Airlines,2,"SFO, LAX",8h 30m,10:55 pm,8:40 am+1,https://www.kayak.com/flights/BOS-HND/2026-05-30/2026-06-13?sort=price_a,2026-04-26 09:30:43
1791,127.93,2026-05-30,2026-06-13,14,Saturday,May,KIX,Osaka (Kansai),False,"Alaska Airlines, Hong Kong Airlines",3,"PDX, YVR, HKG",1h 18m,6:00 am,1:30 pm+2,Cathay Pacific,1,,13h 50m,2:25 pm,11:05 pm,https://www.kayak.com/flights/BOS-KIX/2026-05-30/2026-06-13?sort=price_a,2026-04-26 09:30:44
1711,122.21,2026-05-30,2026-06-13,14,Saturday,May,NGO,Nagoya (Chubu Centrair),False,United Airlines,2,"EWR, NRT",13h 41m,8:26 pm,6:35 pm+2,United Airlines,2,"HND, SFO",2h 55m,2:00 pm,6:21 am+1,https://www.kayak.com/flights/BOS-NGO/2026-05-30/2026-06-13?sort=price_a,2026-04-26 09:30:46
1574,112.43,2026-05-31,2026-06-14,14,Sunday,May,NRT,Tokyo (Narita),False,United Airlines,1,EWR,2h 47m,7:30 am,2:30 pm+1,United Airlines,1,,18h 00m,5:25 pm,9:53 pm,https://www.kayak.com/flights/BOS-NRT/2026-05-31/2026-06-14?sort=price_a,2026-04-26 09:31:05
1769,126.36,2026-05-31,2026-06-14,14,Sunday,May,HND,Tokyo (Haneda),False,United Airlines,1,EWR,1h 37m,7:30 am,1:35 pm+1,United Airlines,1,JFK,17h 05m,10:50 am,4:40 pm,https://www.kayak.com/flights/BOS-HND/2026-05-31/2026-06-14?sort=price_a,2026-04-26 09:31:07
1587,113.36,2026-05-31,2026-06-14,14,Sunday,May,KIX,Osaka (Kansai),False,United Airlines,2,"EWR, NRT",2h 47m,7:30 am,7:50 pm+1,United Airlines,2,HND,3h 55m,9:20 am,9:53 pm,https://www.kayak.com/flights/BOS-KIX/2026-05-31/2026-06-14?sort=price_a,2026-04-26 09:31:08
1586,113.29,2026-05-31,2026-06-14,14,Sunday,May,NGO,Nagoya (Chubu Centrair),False,United Airlines,2,"EWR, NRT",2h 47m,7:30 am,6:35 pm+1,United Airlines,2,,2h 55m,2:00 pm,9:53 pm,https://www.kayak.com/flights/BOS-NGO/2026-05-31/2026-06-14?sort=price_a,2026-04-26 09:31:09
1475,105.36,2026-06-01,2026-06-15,14,Monday,June,NRT,Tokyo (Narita),False,"Air Canada, ZIPAIR",2,"YUL, YVR",1h 26m,6:50 pm,12:40 pm+2,"ZIPAIR, Air Canada",3,YEG,10h 14m,3:55 pm,9:45 am+1,https://www.kayak.com/flights/BOS-NRT/2026-06-01/2026-06-15?sort=price_a,2026-04-26 09:31:28
1597,114.07,2026-06-01,2026-06-15,14,Monday,June,HND,Tokyo (Haneda),False,Lufthansa,1,MUC,3h 05m,8:05 pm,7:50 am+2,Lufthansa,1,FRA,22h 45m,11:45 am,3:40 pm+1,https://www.kayak.com/flights/BOS-HND/2026-06-01/2026-06-15?sort=price_a,2026-04-26 09:31:31
1511,107.93,2026-06-01,2026-06-15,14,Monday,June,KIX,Osaka (Kansai),False,Lufthansa,1,MUC,3h 05m,8:05 pm,7:15 am+2,Lufthansa,1,,22h 10m,9:30 am,5:40 pm+1,https://www.kayak.com/flights/BOS-KIX/2026-06-01/2026-06-15?sort=price_a,2026-04-26 09:31:33
2138,152.71,2026-06-01,2026-06-15,14,Monday,June,NGO,Nagoya (Chubu Centrair),False,"JetBlue, Asiana Airlines",2,"JFK, ICN",3h 35m,8:30 pm,10:55 am+2,"Asiana Airlines, Delta",2,LAX,3h 05m,12:05 pm,5:28 am+1,https://www.kayak.com/flights/BOS-NGO/2026-06-01/2026-06-15?sort=price_a,2026-04-26 09:31:33
1577,112.64,2026-06-02,2026-06-16,14,Tuesday,June,HND,Tokyo (Haneda),False,"WestJet, ANA",2,"ANA, YYC",1h 40m,6:30 pm,7:00 pm+2,Cathay Pacific,1,YVR,16h 30m,10:05 am,11:05 pm,https://www.kayak.com/flights/BOS-HND/2026-06-02/2026-06-16?sort=price_a,2026-04-26 09:31:54
1426,101.86,2026-06-02,2026-06-16,14,Tuesday,June,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,WestJet,1,,32h 50m,6:30 pm,5:40 pm+1,https://www.kayak.com/flights/BOS-NRT/2026-06-02/2026-06-16?sort=price_a,2026-04-26 09:31:54
1543,110.21,2026-06-02,2026-06-16,14,Tuesday,June,KIX,Osaka (Kansai),False,"Air Canada, T'way Air",3,"YUL, YVR, ICN",1h 17m,10:35 am,10:05 am+2,"T'way Air, Air Canada",3,,1h 44m,11:35 am,9:45 am+1,https://www.kayak.com/flights/BOS-KIX/2026-06-02/2026-06-16?sort=price_a,2026-04-26 09:31:56
1772,126.57,2026-06-02,2026-06-16,14,Tuesday,June,NGO,Nagoya (Chubu Centrair),False,Lufthansa,2,"MUC, HND",3h 05m,8:05 pm,8:40 pm+2,Lufthansa,2,FRA,11h 50m,7:20 am,3:40 pm+1,https://www.kayak.com/flights/BOS-NGO/2026-06-02/2026-06-16?sort=price_a,2026-04-26 09:31:57
1397,99.79,2026-06-03,2026-06-17,14,Wednesday,June,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,WestJet,1,,32h 50m,6:30 pm,10:20 pm,https://www.kayak.com/flights/BOS-NRT/2026-06-03/2026-06-17?sort=price_a,2026-04-26 09:32:17
1507,107.64,2026-06-03,2026-06-17,14,Wednesday,June,HND,Tokyo (Haneda),False,Lufthansa,1,MUC,3h 05m,8:05 pm,7:50 am+2,Lufthansa,1,,22h 45m,9:25 am,5:40 pm+1,https://www.kayak.com/flights/BOS-HND/2026-06-03/2026-06-17?sort=price_a,2026-04-26 09:32:18
1660,118.57,2026-06-03,2026-06-17,14,Wednesday,June,KIX,Osaka (Kansai),False,"WestJet, Air Seoul",2,"YYC, ICN",18h 05m,6:30 pm,5:00 pm+3,Cathay Pacific,1,HKG,20h 35m,2:25 pm,11:05 pm,https://www.kayak.com/flights/BOS-KIX/2026-06-03/2026-06-17?sort=price_a,2026-04-26 09:32:20
1952,139.43,2026-06-03,2026-06-17,14,Wednesday,June,NGO,Nagoya (Chubu Centrair),False,Lufthansa,2,"MUC, HND",3h 05m,8:05 pm,8:40 pm+2,Lufthansa,2,,11h 50m,7:20 am,5:40 pm+1,https://www.kayak.com/flights/BOS-NGO/2026-06-03/2026-06-17?sort=price_a,2026-04-26 09:32:21
1311,93.64,2026-06-04,2026-06-18,14,Thursday,June,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,"ZIPAIR, Alaska Airlines",2,"SJC, SAN",32h 50m,4:25 pm,5:40 am+2,https://www.kayak.com/flights/BOS-NRT/2026-06-04/2026-06-18?sort=price_a,2026-04-26 09:32:42
1507,107.64,2026-06-04,2026-06-18,14,Thursday,June,HND,Tokyo (Haneda),False,Lufthansa,1,MUC,3h 05m,8:05 pm,7:50 am+2,Lufthansa,1,,22h 45m,9:25 am,5:40 pm+1,https://www.kayak.com/flights/BOS-HND/2026-06-04/2026-06-18?sort=price_a,2026-04-26 09:32:42
1556,111.14,2026-06-04,2026-06-18,14,Thursday,June,KIX,Osaka (Kansai),False,Lufthansa,1,MUC,3h 05m,8:05 pm,7:15 am+2,Lufthansa,2,"HND, FRA",22h 10m,7:00 am,3:40 pm+1,https://www.kayak.com/flights/BOS-KIX/2026-06-04/2026-06-18?sort=price_a,2026-04-26 09:32:43
1634,116.71,2026-06-04,2026-06-18,14,Thursday,June,NGO,Nagoya (Chubu Centrair),False,Austrian Airlines,2,"VIE, NRT",6h 20m,5:10 pm,6:35 pm+2,Lufthansa,2,"HND, FRA",8h 35m,7:20 am,3:40 pm+1,https://www.kayak.com/flights/BOS-NGO/2026-06-04/2026-06-18?sort=price_a,2026-04-26 09:32:44
1380,98.57,2026-06-05,2026-06-19,14,Friday,June,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,"ZIPAIR, WestJet",2,YVR,32h 50m,3:55 pm,5:40 pm+1,https://www.kayak.com/flights/BOS-NRT/2026-06-05/2026-06-19?sort=price_a,2026-04-26 09:33:04
1729,123.5,2026-06-05,2026-06-19,14,Friday,June,HND,Tokyo (Haneda),False,"Alaska Airlines, Alaska Airlines",2,"SEA, HNL",9h 08m,7:11 pm,7:25 pm+2,Cathay Pacific,1,HKG,4h 29m,10:05 am,11:05 pm,https://www.kayak.com/flights/BOS-HND/2026-06-05/2026-06-19?sort=price_a,2026-04-26 09:33:07
1531,109.36,2026-06-05,2026-06-19,14,Friday,June,KIX,Osaka (Kansai),False,"Porter Airlines, Hong Kong Airlines",3,"YOW, YVR, NRT",2h 02m,3:25 pm,1:30 pm+2,Multiple airlines,3,,4h 11m,7:35 am,5:40 pm+1,https://www.kayak.com/flights/BOS-KIX/2026-06-05/2026-06-19?sort=price_a,2026-04-26 09:33:07
2283,163.07,2026-06-05,2026-06-19,14,Friday,June,NGO,Nagoya (Chubu Centrair),False,"JetBlue, Asiana Airlines",2,"JFK, ICN",3h 35m,8:30 pm,10:55 am+2,"Asiana Airlines, Delta",2,LAX,3h 05m,12:05 pm,5:28 am+1,https://www.kayak.com/flights/BOS-NGO/2026-06-05/2026-06-19?sort=price_a,2026-04-26 09:33:07
1420,101.43,2026-06-06,2026-06-20,14,Saturday,June,NRT,Tokyo (Narita),False,WestJet,1,YYC,16h 55m,6:30 pm,4:20 pm+2,"ZIPAIR, Porter Airlines",2,"YVR, YUL",32h 50m,3:55 pm,8:55 pm+1,https://www.kayak.com/flights/BOS-NRT/2026-06-06/2026-06-20?sort=price_a,2026-04-26 09:33:27
1680,120,2026-06-06,2026-06-20,14,Saturday,June,HND,Tokyo (Haneda),False,"WestJet, ANA",2,"ANA, YYC",1h 40m,6:30 pm,7:00 pm+2,Cathay Pacific,1,YVR,16h 30m,10:05 am,11:05 pm,https://www.kayak.com/flights/BOS-HND/2026-06-06/2026-06-20?sort=price_a,2026-04-26 09:33:30
